tempo,breque,cria_jur_1,cria_jur_2,jus_estr,exec_jur_1,exec_jur_3,jus_exec
237,mama eu,0.00,0.00,,0.00,0.00,
238,mama eu,0.00,0.00,,0.10,0.00,surdos
239,mama eu,0.00,0.00,,0.00,0.00,
240,mama eu,0.00,0.00,,0.00,0.00,
241,mama eu,0.00,1.00,frase chocalhos,0.00,0.00,
242,mama eu,0.00,0.00,,0.00,0.00,
243,mama eu,0.00,0.00,,0.00,0.00,
244,mama eu,0.00,0.00,,0.00,0.00,
245,mama eu,0.00,0.00,,0.00,0.00,
246,mama eu,0.00,0.00,,0.00,0.00,
247,mama eu,0.00,0.00,,0.00,0.00,
248,mama eu,0.00,0.00,,0.00,0.00,
249,mama eu,0.00,0.00,,0.00,0.00,
250,mama eu,0.00,0.00,,0.00,0.00,
251,mama eu,0.00,0.00,,0.00,0.00,
252,mama eu,0.00,0.00,,0.00,0.00,
253,mama eu,0.00,0.00,,0.00,0.00,
254,kuduro,0.00,0.00,,0.00,0.00,
255,kuduro,0.00,0.00,,0.00,0.00,
256,kuduro,0.00,0.00,,0.00,0.00,
257,kuduro,0.00,1.00,variacao ritmica,0.00,0.00,
258,kuduro,0.00,0.00,,0.00,0.00,
259,kuduro,0.00,0.00,,0.00,0.00,
260,kuduro,0.00,0.00,,0.00,0.00,
261,kuduro,0.00,0.00,,0.00,0.00,
262,kuduro,0.00,0.00,,0.00,0.00,
263,kuduro,0.00,0.00,,0.00,0.00,
264,kuduro,0.00,0.00,,0.00,0.00,
265,kuduro,0.00,0.00,,0.00,0.00,
266,kuduro,0.00,0.00,,0.00,0.00,
267,kuduro,0.00,0.00,,0.00,0.00,
268,kuduro,0.00,0.00,,0.00,0.00,
269,kuduro,0.00,0.00,,0.00,0.00,
270,kuduro,0.00,0.00,,0.00,0.00,
271,kuduro,0.00,0.00,,0.00,0.00,
272,kuduro,0.00,0.00,,0.00,0.00,
273,decres / cresc,0.00,0.00,,0.00,0.00,
274,decres / cresc,0.00,0.00,,0.00,0.00,
275,decres / cresc,0.00,0.00,,0.00,0.00,
276,decres / cresc,0.00,1.00,dinamica musical,0.00,0.00,
277,decres / cresc,1.00,0.00,fraseado naipes,0.00,0.00,
278,decres / cresc,0.00,0.00,,0.00,0.00,
279,decres / cresc,0.00,0.00,,0.00,0.00,
280,decres / cresc,0.00,0.00,,0.00,0.00,
281,decres / cresc,0.00,0.00,,0.00,0.00,
282,decres / cresc,0.00,0.00,,0.00,0.00,
283,decres / cresc,2.00,0.00,dinamica musical,0.00,0.00,
284,decres / cresc,0.00,0.00,,0.00,0.00,
